map,scen_file,num_agents,timeout_s,runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
empty-16-16,empty-16-16-random-10,10,300,0.000304,0,1,151,666,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.00035,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-10.scen:
empty-16-16,empty-16-16-random-11,10,300,0.000204,1,3,96,399,65,65,65,65,0,0,0,0,1,0,0,1,0,5.2e-05,2e-06,5e-06,0,3e-06,0,1.4e-05,1e-06,0,1.4e-05,1.7e-05,0.000248,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-11.scen:
empty-16-16,empty-16-16-random-12,10,300,0.000117,0,1,112,480,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000242,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-12.scen:
empty-16-16,empty-16-16-random-13,10,300,0.000489,1,3,189,823,129,129,129,129,0,0,0,0,1,0,0,2,0,0.000198,3e-06,6e-06,0,2e-06,0,4.3e-05,0,1.8e-05,5.2e-05,5.5e-05,0.000242,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-13.scen:
empty-16-16,empty-16-16-random-14,10,300,0.000129,0,1,122,540,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.000247,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-14.scen:
empty-16-16,empty-16-16-random-15,10,300,0.000128,0,1,117,495,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000244,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-15.scen:
empty-16-16,empty-16-16-random-16,10,300,0.000365,2,3,157,654,84,84,83,84,1,0,1,0,0,0,0,3,0,0.000134,5e-06,7e-06,2.7e-05,3e-06,0,2.1e-05,0,2e-06,3.7e-05,4.3e-05,0.000246,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-16.scen:
empty-16-16,empty-16-16-random-17,10,300,0.000295,1,3,175,705,102,102,101,102,0,0,0,0,1,0,0,1,0,9.9e-05,3e-06,5e-06,0,2e-06,0,1.7e-05,1e-06,1e-06,2.1e-05,2.4e-05,0.000241,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-17.scen:
empty-16-16,empty-16-16-random-18,10,300,0.000277,1,3,179,796,133,133,133,133,0,0,0,0,1,0,0,1,0,7.3e-05,2e-06,5e-06,0,2e-06,0,2.2e-05,0,0,2.2e-05,2.5e-05,0.000238,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-18.scen:
empty-16-16,empty-16-16-random-19,10,300,0.00014,0,1,135,600,122,122,122,122,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000248,WDG+GR+GC+T+BP with AStar,benchmarks/empty-16-16/scenarios/empty-16-16-random-19.scen:
