map,scen_file,num_agents,timeout_s,runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
maze-32-32-2,maze-32-32-2-random-10,10,300,0.009991,11,23,5107,13284,562,562,557,561,1,5,0,6,0,0,0,12,7,0.005346,1.7e-05,3.2e-05,8e-05,0.000741,0,0.000598,6e-06,0.00035,0.002621,0.002663,0.000544,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-10.scen:
maze-32-32-2,maze-32-32-2-random-11,10,300,0.003963,2,5,2026,4742,517,517,512,515,0,0,0,2,0,0,0,4,0,0.002301,5e-06,9e-06,7e-06,0.000215,0,0.000168,0,0.000114,0.000801,0.00081,0.000529,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-11.scen:
maze-32-32-2,maze-32-32-2-random-12,10,300,0.005965,7,13,2315,7388,575,575,572,574,4,3,0,1,2,0,0,19,1,0.003745,1.1e-05,2.6e-05,1.9e-05,8.3e-05,0,0.000446,6e-06,0.000216,0.001097,0.001128,0.000531,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-12.scen:
maze-32-32-2,maze-32-32-2-random-13,10,300,0.001875,2,3,1099,3475,560,560,558,560,1,0,0,1,0,0,0,4,0,0.000899,3e-06,9e-06,0,5.9e-05,0,0.000111,0,5.9e-05,0.000306,0.000314,0.000545,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-13.scen:
maze-32-32-2,maze-32-32-2-random-14,10,300,0.001811,4,9,939,3170,407,407,405,405,0,2,0,0,2,0,0,6,0,0.000815,4e-06,1.3e-05,2.1e-05,9e-05,0,0.000137,1e-06,8.1e-05,0.000374,0.000388,0.000529,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-14.scen:
maze-32-32-2,maze-32-32-2-random-15,10,300,0.003175,2,5,1521,4896,710,710,706,710,0,0,0,2,0,0,0,4,0,0.00181,7e-06,1.2e-05,0,0.000136,0,0.000151,1e-06,5.1e-05,0.000449,0.000474,0.00053,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-15.scen:
maze-32-32-2,maze-32-32-2-random-16,10,300,0.003886,5,9,2169,6158,570,570,562,568,1,0,0,2,2,0,0,7,0,0.002002,1.1e-05,1.5e-05,9e-06,0.000149,0,0.000243,5e-06,0.000133,0.000926,0.000943,0.000535,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-16.scen:
maze-32-32-2,maze-32-32-2-random-17,10,300,0.002026,2,3,1302,3774,460,460,458,460,2,0,0,1,0,0,0,4,0,0.000899,7e-06,1e-05,7e-06,5.8e-05,0,0.000162,0,8.4e-05,0.000479,0.000489,0.000546,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-17.scen:
maze-32-32-2,maze-32-32-2-random-18,10,300,0.002057,3,5,1069,3599,519,519,515,517,2,0,0,1,1,0,0,7,0,0.001092,5e-06,1.1e-05,0,5.1e-05,0,9.8e-05,0,8.4e-05,0.000366,0.00038,0.000531,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-18.scen:
maze-32-32-2,maze-32-32-2-random-19,10,300,0.000923,2,3,734,2783,507,507,507,507,1,0,0,0,1,0,0,2,0,0.000265,3e-06,8e-06,3.3e-05,3e-06,0,5.5e-05,1e-06,3.4e-05,0.000142,0.000148,0.000525,WDG+GR+GC+T+BP with AStar,benchmarks/maze-32-32-2/scenarios/maze-32-32-2-random-19.scen:
