map,scen_file,num_agents,timeout_s,runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
room-64-64-8,room-64-64-8-random-10,10,300,0.011216,8,17,5273,15586,690,690,684,688,0,4,0,4,0,0,0,8,4,0.005596,1.2e-05,2.6e-05,1e-05,0.001499,0,0.000715,3e-06,0.000464,0.002701,0.002731,0.003044,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-10.scen:
room-64-64-8,room-64-64-8-random-11,10,300,0.001446,1,3,1050,3574,489,489,487,489,0,0,0,1,0,0,0,1,0,0.00051,2e-06,6e-06,0,6.6e-05,0,7.1e-05,2e-06,5.7e-05,0.000327,0.000331,0.003045,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-11.scen:
room-64-64-8,room-64-64-8-random-12,10,300,0.001781,2,5,1205,3937,566,566,562,566,0,0,0,2,0,0,0,3,0,0.000732,3e-06,9e-06,0,6.3e-05,0,7.9e-05,0,6.1e-05,0.000397,0.000404,0.003043,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-12.scen:
room-64-64-8,room-64-64-8-random-13,10,300,0.000489,0,1,615,2452,605,605,605,605,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.003015,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-13.scen:
room-64-64-8,room-64-64-8-random-14,10,300,0.002955,2,5,2143,6340,716,716,711,716,0,0,0,2,0,0,0,2,0,0.001199,3e-06,1.1e-05,0,0.000155,0,0.000145,1e-06,0.000116,0.00082,0.000829,0.003054,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-14.scen:
room-64-64-8,room-64-64-8-random-15,10,300,0.001654,2,3,1185,4317,615,615,613,615,1,0,0,1,0,0,0,2,0,0.000591,3e-06,9e-06,0,5.8e-05,0,0.000108,1e-06,7.1e-05,0.000363,0.000369,0.003026,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-15.scen:
room-64-64-8,room-64-64-8-random-16,10,300,0.004294,2,5,3503,7723,578,578,574,577,0,1,0,0,1,0,0,2,0,0.002062,4e-06,9e-06,0,2e-06,0,8.6e-05,1e-06,0.000127,0.00159,0.001599,0.002998,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-16.scen:
room-64-64-8,room-64-64-8-random-17,10,300,0.000475,0,1,613,2496,603,603,603,603,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.003077,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-17.scen:
room-64-64-8,room-64-64-8-random-18,10,300,0.004778,3,7,2470,6878,627,627,622,625,1,0,1,2,0,0,0,5,0,0.002376,7e-06,1.4e-05,4.1e-05,0.000408,0,0.000317,1e-06,0.000135,0.001033,0.001049,0.003069,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-18.scen:
room-64-64-8,room-64-64-8-random-19,10,300,0.010536,6,13,3179,8190,424,424,420,422,0,5,0,1,0,0,0,11,0,0.007703,1.2e-05,1.6e-05,2.8e-05,9e-05,0,0.000642,4e-06,0.000333,0.001636,0.001658,0.002971,WDG+GR+GC+T+BP with AStar,benchmarks/room-64-64-8/scenarios/room-64-64-8-random-19.scen:
