map,scen_file,num_agents,timeout_s,runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-10,10,300,0.000951,0,1,1091,4336,1074,1074,1074,1074,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.008271,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-10.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-11,10,300,0.000827,0,1,945,3708,935,935,935,935,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.008214,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-11.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-12,10,300,0.00089,0,1,1012,3982,1002,1002,1002,1002,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.008294,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-12.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-13,10,300,0.003913,1,3,1340,5361,974,974,974,974,0,0,0,0,1,0,0,1,0,0.001536,2e-06,9e-06,0,2e-06,0,0.000978,0,0.00021,0.00043,0.000508,0.008516,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-13.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-14,10,300,0.005635,1,3,1600,6420,1154,1154,1154,1154,0,0,0,0,1,0,0,1,0,0.002333,1e-06,1.1e-05,0,2e-06,0,0.001534,0,0.000299,0.000631,0.000726,0.008336,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-14.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-15,10,300,0.000851,0,1,937,3687,927,927,927,927,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.008195,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-15.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-16,10,300,0.004508,1,3,1707,6080,930,930,930,930,0,0,0,0,1,0,0,2,0,0.002043,2e-06,1e-05,0.000459,2e-06,0,0.000531,0,0.000142,0.000351,0.000383,0.00823,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-16.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-17,10,300,0.005718,2,3,1494,5952,968,968,968,968,1,0,0,0,1,0,0,2,0,0.002371,4e-06,1.1e-05,0.000637,3e-06,0,0.001199,2e-06,0.000218,0.000505,0.000578,0.008673,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-17.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-18,10,300,0.000834,0,1,923,3632,913,913,913,913,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.008199,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-18.scen:
warehouse-10-20-10-2-2,warehouse-10-20-10-2-2-random-19,10,300,0.000925,0,1,1048,4177,1038,1038,1038,1038,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.008181,WDG+GR+GC+T+BP with AStar,benchmarks/warehouse-10-20-10-2-2/scenarios/warehouse-10-20-10-2-2-random-19.scen:
